sex, from, grade, salary, cost, income, net_money, economic_pressure, cost_main, cost_way, electronic_option, luxury_option, game_option, music_option, star, financical_option, phone, computer, cream, email
Male, city, 1, 2181, 1225, 信贷产品, 信用卡, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, 7vSN8@126.com
Male, city, 1, 2145, 2184, 副业, 信用卡, yes, cloth, online, 1, 1, 1, 1, 1, 1, huawei, 联想, 普通品牌, 7lItTUZN@163.com
Male, city, 1, 2391, 2183, 父母给予, 信用卡, no, dict, online, 2, 3, 2, 2, 2, 1, huawei, 联想, 普通品牌, R0yIX@163.com
Male, city, 1, 2532, 3428, 无, 花呗, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, nrG1Ji8@163.com
Female, township, 2, 3344, 4228, 无, 花呗, yes, funny, online, 2, 4, 2, 2, 2, 2, xiaomi, 戴尔, 普通品牌, cHeZM0x@qq.com
Female, countryside, 3, 3670, 4632, 无, 信用卡, yes, elec, offline, 3, 4, 3, 3, 2, 2, iphone, other, 中档品牌, GXO2FmKqi@126.com
Male, city, 1, 2935, 1317, 副业, 信用卡, yes, cloth, online, 2, 2, 1, 1, 2, 1, huawei, 联想, 普通品牌, j2Vo5GgSHW6@sina.com
Male, city, 1, 2596, 3287, 副业, 信用卡, no, cloth, online, 1, 2, 1, 1, 2, 1, huawei, 联想, 普通品牌, dr0aBoDlxUb@126.com
Female, countryside, 3, 4554, 4352, 无, 信用卡, yes, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, JaJrQ27@163.com
Female, township, 2, 3602, 3442, 无, 花呗, yes, funny, online, 2, 4, 2, 2, 2, 2, oppo, 苹果, 普通品牌, wcZQY7a6@163.com
Female, township, 2, 4275, 3089, 无, 节呗, yes, funny, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, Z6plg5jk@sina.com
Male, city, 1, 2226, 4213, 父母给予, 信用卡, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, 0N97aLwkBm@126.com
Female, countryside, 3, 4448, 2594, 无, 信用卡, yes, cream, offline, 3, 4, 3, 1, 2, 2, other, other, 高档品牌, ZT8eV0lnI@sina.com
Female, countryside, 3, 5569, 3362, 无, 无, yes, elec, offline, 3, 4, 2, 3, 2, 2, iphone, 惠普, 中档品牌, 3gLsGv3p@126.com
Male, city, 1, 2595, 1483, 父母给予, 信用卡, no, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, i8R7X@163.com
Female, township, 2, 5306, 3069, 无, 花呗, yes, funny, online, 2, 4, 2, 2, 2, 2, oppo, 苹果, 普通品牌, t5Jq1VaYpRK@qq.com
Female, township, 2, 2327, 3063, 无, 节呗, yes, funny, online, 2, 4, 2, 3, 2, 2, oppo, 华硕, 普通品牌, dt9Nz@126.com
Female, countryside, 3, 3715, 5368, 无, 信用卡, no, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, 1H0dEy@163.com
Male, city, 1, 2064, 2225, 父母给予, 信用卡, no, cloth, online, 2, 3, 1, 2, 2, 1, huawei, 联想, 普通品牌, fd0t2UNcB3O@126.com
Female, township, 2, 3331, 4739, 无, 花呗, no, funny, online, 2, 4, 2, 2, 2, 2, oppo, 苹果, 普通品牌, CfMniTPWO1@sina.com
Female, township, 2, 3160, 3238, 无, 花呗, yes, funny, online, 2, 4, 2, 2, 2, 2, oppo, 苹果, 普通品牌, B5lw87erT@163.com
Female, township, 2, 5033, 2756, 无, 节呗, no, funny, online, 2, 4, 2, 3, 2, 2, oppo, 苹果, 普通品牌, 6M5niMv@126.com
Male, city, 1, 1952, 1989, 父母给予, 信用卡, no, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, ozSK9NF@qq.com
Female, township, 2, 3160, 4639, 无, 花呗, yes, funny, online, 2, 4, 2, 2, 2, 2, oppo, 苹果, 普通品牌, 0LHrd@sina.com
Female, township, 2, 5549, 3433, 无, 节呗, no, funny, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, clz5F7iP@163.com
Male, township, 2, 3779, 2365, 无, 花呗, no, funny, online, 2, 4, 2, 2, 2, 2, xiaomi, 戴尔, 普通品牌, QUc18hdlobS@163.com
Male, city, 1, 2044, 1057, 父母给予, 信用卡, no, cloth, online, 2, 2, 1, 2, 2, 1, huawei, 联想, 普通品牌, g80Z6dZhjsL@163.com
Female, township, 2, 5136, 3551, 无, 节呗, no, funny, online, 2, 4, 2, 3, 2, 2, oppo, 苹果, 普通品牌, 3HdlsR9cIm@sina.com
Female, township, 2, 5457, 2989, 无, 花呗, yes, funny, online, 2, 4, 2, 2, 2, 2, oppo, 苹果, 普通品牌, an2T8G7rA@163.com
Male, city, 1, 2342, 3270, 父母给予, 信用卡, no, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, dkyH9C@qq.com
Male, city, 1, 2365, 2188, 副业, 信用卡, yes, cloth, online, 1, 1, 1, 1, 1, 1, huawei, 联想, 普通品牌, G6l8s9d@163.com
Female, township, 2, 5133, 5325, 无, 节呗, yes, funny, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, OYx6zMEqN@126.com
Female, countryside, 3, 3807, 2393, 无, 信用卡, yes, cream, offline, 3, 4, 3, 1, 2, 2, iphone, other, 高档品牌, gy7kFIDTwcv@sina.com
Female, countryside, 3, 5346, 4784, 无, 无, yes, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, 4jbOIg@163.com
Female, countryside, 3, 3459, 3204, 无, 信用卡, no, elec, offline, 3, 4, 3, 3, 2, 2, iphone, other, 中档品牌, vG3brZcP@sina.com
Female, countryside, 3, 4111, 2169, 无, 无, yes, study, offline, 3, 4, 2, 3, 2, 2, iphone, 华硕, 中档品牌, 0NVpsw@qq.com
Male, city, 1, 1981, 3825, 父母给予, 信用卡, yes, cloth, online, 2, 2, 1, 2, 2, 1, huawei, 联想, 普通品牌, tXWfsbr5PeS@126.com
Female, countryside, 3, 3855, 4185, 无, 信用卡, yes, cream, offline, 3, 4, 3, 3, 2, 2, iphone, other, 中档品牌, q8YMBCz8rp@163.com
Male, city, 1, 2071, 3870, 副业, 信用卡, no, cloth, online, 1, 1, 1, 1, 1, 1, huawei, 联想, 普通品牌, ci4vTSCV@sina.com
Female, countryside, 3, 3067, 5198, 无, 信用卡, no, cream, offline, 3, 4, 3, 1, 2, 2, iphone, other, 中档品牌, yhD06bjN1@qq.com
Female, countryside, 3, 3738, 4222, 无, 无, no, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, 9TBnKUpiIO5@126.com
Female, countryside, 3, 5024, 2653, 无, 无, no, elec, offline, 3, 4, 2, 3, 2, 2, iphone, 惠普, 中档品牌, 7ckqaUCe@126.com
Male, city, 1, 2589, 3187, 副业, 信用卡, yes, cloth, online, 1, 1, 1, 1, 1, 1, huawei, 联想, 普通品牌, v5rJ8TesEK@126.com
Female, township, 2, 5564, 4263, 无, 花呗, yes, funny, online, 2, 4, 2, 2, 2, 2, oppo, 苹果, 普通品牌, 1bTx0aX@126.com
Male, city, 1, 2774, 2542, 父母给予, 信用卡, no, cloth, online, 2, 3, 1, 2, 2, 1, huawei, 联想, 普通品牌, 7JiamW0@126.com
Female, countryside, 3, 2944, 5415, 无, 无, no, elec, offline, 3, 4, 2, 3, 2, 2, iphone, 惠普, 中档品牌, CLIflA6@qq.com
Female, township, 2, 4708, 2510, 无, 节呗, yes, funny, online, 3, 4, 2, 3, 2, 2, oppo, 华硕, 中档品牌, 1cPSixRTk3@163.com
Male, city, 1, 1839, 4393, 父母给予, 信用卡, yes, cloth, online, 2, 3, 1, 2, 2, 1, huawei, 联想, 普通品牌, s5tOtK3@qq.com
Male, city, 1, 1891, 3944, 无, 花呗, yes, trval, online, 2, 4, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, ZHogBQn4@163.com
Female, countryside, 3, 4554, 3781, 无, 信用卡, no, cream, offline, 3, 4, 3, 3, 2, 2, iphone, other, 中档品牌, cyruLF49mL@126.com
Female, countryside, 3, 3708, 5590, 无, 信用卡, yes, other, offline, 3, 1, 3, 1, 2, 2, other, other, 高档品牌, 0SdgmI@sina.com
Male, city, 1, 2775, 2584, 无, 花呗, yes, trval, online, 2, 4, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, 31HqoDOV63@sina.com
Male, city, 1, 2162, 2258, 父母给予, 信用卡, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, RXNE2We@sina.com
Female, countryside, 3, 5374, 2824, 无, 信用卡, no, other, offline, 3, 1, 3, 1, 2, 2, other, other, 高档品牌, 3enUq@163.com
Male, city, 1, 1710, 2396, 无, 花呗, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, W7Q2rjJp@qq.com
Male, city, 1, 2635, 1126, 父母给予, 信用卡, no, cloth, online, 2, 2, 1, 1, 2, 1, huawei, 联想, 普通品牌, fp2OdlTq@qq.com
Female, township, 2, 5184, 3508, 无, 节呗, no, funny, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, sm4C2@sina.com
Male, city, 1, 2040, 2091, 父母给予, 信用卡, no, dict, online, 2, 3, 2, 2, 2, 1, huawei, 联想, 普通品牌, 7KMpJ7t@qq.com
Female, township, 2, 4660, 1482, 无, 美团月付, no, study, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, LDw9FT@sina.com
Male, city, 1, 2134, 4089, 无, 花呗, no, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, u0XsxQEm@sina.com
Female, township, 2, 3815, 4911, 无, 花呗, yes, funny, online, 2, 4, 2, 3, 2, 2, oppo, 苹果, 普通品牌, W7NAYRFXVbU@qq.com
Female, countryside, 3, 2894, 5464, 无, 信用卡, yes, cream, offline, 3, 4, 3, 3, 2, 2, iphone, other, 中档品牌, VJ7ox@sina.com
Female, township, 2, 4405, 2720, 无, 花呗, yes, funny, online, 2, 4, 2, 2, 2, 2, xiaomi, 苹果, 普通品牌, Q61nA@qq.com
Male, city, 1, 2451, 2331, 副业, 信用卡, yes, cloth, online, 1, 1, 1, 1, 1, 1, huawei, 联想, 普通品牌, 4jGIKx@126.com
Male, city, 1, 2236, 1982, 无, 花呗, yes, trval, online, 2, 4, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, 8e6Rty@163.com
Female, township, 2, 3349, 2223, 无, 花呗, yes, funny, online, 2, 4, 2, 2, 2, 2, oppo, 苹果, 普通品牌, s3NKHW7@qq.com
Male, township, 2, 4338, 4341, 无, 花呗, yes, funny, online, 2, 4, 2, 2, 2, 2, xiaomi, 戴尔, 普通品牌, Sr3fqh@163.com
Male, city, 1, 2640, 2017, 父母给予, 信用卡, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, tf5z7KXBE@qq.com
Male, city, 1, 1907, 4312, 副业, 信用卡, yes, cloth, online, 2, 2, 1, 1, 2, 1, huawei, 联想, 普通品牌, Y6qXEGL6SsV@sina.com
Female, countryside, 3, 4494, 6145, 无, 信用卡, no, cream, offline, 3, 4, 3, 1, 2, 2, iphone, other, 高档品牌, S3RvR1Ab@126.com
Female, township, 2, 2913, 5004, 无, 节呗, yes, funny, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, 2mAM1G@sina.com
Female, countryside, 3, 5882, 2904, 无, 无, yes, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, sZ2NcW1Gt@qq.com
Male, city, 1, 2187, 3644, 父母给予, 信用卡, no, cloth, online, 2, 2, 1, 2, 2, 1, huawei, 联想, 普通品牌, bc7TD4k@sina.com
Male, city, 1, 2081, 3652, 父母给予, 信用卡, yes, dict, online, 2, 3, 1, 2, 2, 1, huawei, 联想, 普通品牌, gn4BbrS@qq.com
Female, township, 2, 5097, 2530, 无, 美团月付, yes, study, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, Oz3E9m3@qq.com
Male, city, 1, 1689, 2961, 无, 花呗, yes, trval, online, 2, 4, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, UfM5zC2wAGO@sina.com
Female, township, 2, 4362, 4589, 无, 美团月付, yes, study, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, xed66zlFJ@sina.com
Female, countryside, 3, 2849, 6071, 无, 无, no, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, 4LPtN@126.com
Female, township, 2, 2334, 5521, 无, 花呗, no, funny, online, 2, 4, 2, 2, 2, 2, oppo, 苹果, 普通品牌, HJoC906h@qq.com
Female, countryside, 3, 3038, 5138, 无, 信用卡, yes, other, offline, 3, 1, 3, 1, 2, 2, other, other, 高档品牌, 6qUxoVnp8@qq.com
Male, city, 1, 2504, 4207, 父母给予, 信用卡, yes, cloth, online, 2, 2, 1, 2, 2, 1, huawei, 联想, 普通品牌, x071uBX52@126.com
Female, township, 2, 2708, 2382, 无, 节呗, yes, funny, online, 2, 4, 2, 3, 2, 2, oppo, 华硕, 普通品牌, 416j5GgT@126.com
Female, township, 2, 4115, 3473, 无, 美团月付, yes, study, online, 3, 4, 2, 3, 2, 2, iphone, 华硕, 中档品牌, wx7NZm@sina.com
Male, city, 1, 2662, 2134, 父母给予, 信用卡, yes, cloth, online, 2, 2, 1, 1, 2, 1, huawei, 联想, 普通品牌, 57doNLFlknh@163.com
Male, city, 1, 2168, 963, 无, 花呗, no, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, 9k7MD@sina.com
Male, city, 1, 2696, 3130, 父母给予, 信用卡, no, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, 2LRSfpiH0x@126.com
Female, township, 2, 5080, 1725, 无, 花呗, no, funny, online, 2, 4, 2, 2, 2, 2, xiaomi, 戴尔, 普通品牌, j26CPFe2@126.com
Female, countryside, 3, 5910, 5007, 无, 无, no, elec, offline, 3, 4, 2, 3, 2, 2, iphone, 惠普, 中档品牌, Ek4mX@sina.com
Female, township, 2, 4742, 3641, 无, 无, yes, study, online, 3, 4, 2, 3, 2, 2, iphone, 华硕, 中档品牌, WqnpZ3zB@163.com
Male, city, 1, 1801, 1753, 父母给予, 信用卡, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, SWtL7vr@126.com
Female, township, 2, 4126, 1460, 无, 花呗, yes, funny, online, 2, 4, 2, 2, 2, 2, oppo, 苹果, 普通品牌, jiZyY2J@qq.com
Male, city, 1, 1736, 3897, 副业, 信用卡, yes, cloth, online, 2, 2, 1, 1, 2, 1, huawei, 联想, 普通品牌, N9JOq64v9Z@163.com
Female, township, 2, 2587, 3333, 无, 节呗, no, funny, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, bQwL9KSd1k@126.com
Female, township, 2, 3667, 2957, 无, 节呗, no, funny, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, cS8KyYq@sina.com
Female, township, 2, 3764, 3151, 无, 花呗, no, funny, online, 2, 4, 2, 2, 2, 2, xiaomi, 戴尔, 普通品牌, p5YM86fDi@163.com
Male, city, 1, 2121, 3961, 副业, 信用卡, yes, cloth, online, 1, 1, 1, 1, 1, 1, huawei, 联想, 普通品牌, FZ07AHP8mpf@126.com
Male, city, 1, 1893, 3100, 父母给予, 信用卡, yes, dict, online, 2, 3, 2, 2, 2, 1, huawei, 联想, 普通品牌, 5UF4Pry1eo@qq.com
Female, countryside, 3, 5149, 3085, 无, 无, yes, elec, offline, 3, 4, 2, 3, 2, 2, iphone, 惠普, 中档品牌, UFXrRr1B1@qq.com
Female, countryside, 3, 3632, 4806, 无, 无, yes, study, offline, 3, 4, 2, 3, 2, 2, iphone, 华硕, 中档品牌, TUoq7s@126.com
Female, township, 2, 2971, 1489, 无, 美团月付, yes, study, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, KCpDi8r9VI@sina.com
Female, countryside, 3, 4009, 5356, 无, 信用卡, yes, elec, offline, 3, 4, 3, 3, 2, 2, iphone, other, 中档品牌, IlHhjLM6@126.com
Female, township, 2, 4746, 2458, 无, 美团月付, yes, study, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, OCFKl3@126.com
Male, city, 1, 2829, 3943, 信贷产品, 信用卡, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, 6F5tyjwr@sina.com
Male, city, 1, 1766, 2301, 无, 花呗, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, HR1dTK5fOWu@126.com
Male, city, 1, 2527, 3227, 父母给予, 信用卡, yes, cloth, online, 2, 2, 1, 2, 2, 1, huawei, 联想, 普通品牌, H2WHlb@126.com
Male, city, 1, 2367, 2868, 父母给予, 信用卡, no, cloth, online, 2, 2, 1, 1, 2, 1, huawei, 联想, 普通品牌, Fb3tj@sina.com
Male, city, 1, 2038, 4566, 副业, 信用卡, no, cloth, online, 1, 1, 1, 1, 1, 1, huawei, 联想, 普通品牌, fMs82p8WqSx@sina.com
Female, countryside, 3, 4832, 4497, 无, 无, no, elec, offline, 3, 4, 2, 3, 2, 2, iphone, 惠普, 中档品牌, 2X0ob33R@qq.com
Female, countryside, 3, 4662, 6323, 无, 信用卡, no, elec, offline, 3, 4, 3, 3, 2, 2, iphone, other, 中档品牌, Ghw9ZOidk@sina.com
Female, township, 2, 5464, 2448, 无, 节呗, no, funny, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, N7lmR28Pb0@qq.com
Female, countryside, 3, 3424, 5829, 无, 信用卡, no, cream, offline, 3, 4, 3, 1, 2, 2, iphone, other, 高档品牌, nK0xSC@126.com
Female, countryside, 3, 5059, 2323, 无, 信用卡, yes, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, ieGHUk7Ci@126.com
Female, countryside, 3, 4554, 4589, 无, 无, yes, elec, offline, 3, 4, 2, 3, 2, 2, iphone, 惠普, 中档品牌, 0Ko2dBS4@126.com
Male, city, 1, 2430, 2443, 父母给予, 信用卡, no, dict, online, 2, 3, 2, 2, 2, 1, huawei, 联想, 普通品牌, OTRJ0c@qq.com
Male, city, 1, 1906, 1929, 副业, 信用卡, yes, cloth, online, 2, 2, 1, 1, 2, 1, huawei, 联想, 普通品牌, i7jGTD@163.com
Male, city, 1, 1610, 1648, 父母给予, 信用卡, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, uDou2vM@126.com
Female, township, 2, 2789, 3494, 无, 节呗, yes, funny, online, 2, 4, 2, 3, 2, 2, oppo, 华硕, 中档品牌, YqNoAmXWRJ9@sina.com
Female, township, 2, 2848, 3196, 无, 节呗, yes, funny, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, 4EoBwt@163.com
Male, city, 1, 2029, 3533, 父母给予, 信用卡, yes, cloth, online, 2, 3, 1, 2, 2, 1, huawei, 联想, 普通品牌, Q664Dg@126.com
Female, countryside, 3, 5242, 3314, 无, 无, yes, elec, offline, 3, 4, 2, 3, 2, 2, iphone, 惠普, 中档品牌, MJZH3q@sina.com
Male, city, 1, 2920, 1201, 副业, 信用卡, no, cloth, online, 1, 1, 1, 1, 1, 1, huawei, 联想, 普通品牌, q2SZvVRE2@qq.com
Male, city, 1, 1974, 3490, 父母给予, 信用卡, no, cloth, online, 2, 2, 1, 1, 2, 1, huawei, 联想, 普通品牌, PGA8b0@sina.com
Female, countryside, 3, 3203, 2255, 无, 信用卡, yes, cream, offline, 3, 4, 3, 3, 2, 2, iphone, other, 中档品牌, NokvyRq7@126.com
Female, countryside, 3, 3732, 4717, 无, 无, no, elec, offline, 3, 4, 2, 3, 2, 2, iphone, 惠普, 中档品牌, Coy2O3g@qq.com
Male, city, 1, 2590, 1466, 副业, 信用卡, yes, cloth, online, 2, 2, 1, 1, 2, 1, huawei, 联想, 普通品牌, 70Xvw@163.com
Female, township, 2, 3960, 3164, 无, 节呗, no, funny, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, 0NoMAaen9RG@qq.com
Female, township, 2, 3939, 2272, 无, 美团月付, yes, study, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, DlX6dvdX@163.com
Female, countryside, 3, 5753, 4595, 无, 信用卡, no, cream, offline, 3, 4, 3, 1, 2, 2, iphone, other, 高档品牌, 2fT0ueLW@sina.com
Female, township, 2, 3121, 3207, 无, 节呗, yes, funny, online, 2, 4, 2, 3, 2, 2, oppo, 华硕, 中档品牌, ZE70k@sina.com
Female, countryside, 3, 3987, 3659, 无, 信用卡, yes, other, offline, 3, 1, 3, 1, 2, 2, other, other, 高档品牌, Xex9hZpFqS3@sina.com
Female, countryside, 3, 2991, 2213, 无, 信用卡, no, cream, offline, 3, 4, 3, 3, 2, 2, iphone, other, 中档品牌, 6Tb0YSOImM@qq.com
Female, township, 2, 4623, 2232, 无, 节呗, yes, funny, online, 2, 4, 2, 3, 2, 2, oppo, 苹果, 普通品牌, INZa5M@qq.com
Female, countryside, 3, 4777, 4986, 无, 信用卡, yes, cream, offline, 3, 4, 3, 1, 2, 2, iphone, other, 高档品牌, EydS0G@126.com
Female, township, 2, 2325, 4657, 无, 美团月付, no, study, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, L5qL1fqO@qq.com
Female, township, 2, 4480, 4240, 无, 美团月付, yes, study, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, mP6tGw2@qq.com
Male, city, 2, 2865, 3309, 无, 花呗, no, trval, online, 2, 4, 2, 2, 2, 2, xiaomi, 戴尔, 普通品牌, JnP5CiexQmp@126.com
Female, township, 2, 3763, 2595, 无, 节呗, no, funny, online, 2, 4, 2, 3, 2, 2, oppo, 华硕, 中档品牌, kry16cfPY@126.com
Female, countryside, 3, 5623, 4201, 无, 无, no, elec, offline, 3, 4, 2, 3, 2, 2, iphone, 惠普, 中档品牌, uaFY6UQ8O6k@qq.com
Female, township, 2, 3653, 2330, 无, 节呗, yes, study, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, CC8pV@163.com
Female, countryside, 3, 4990, 5630, 无, 信用卡, no, elec, offline, 3, 4, 3, 3, 2, 2, iphone, other, 中档品牌, Ayz2tZop87L@qq.com
Male, city, 1, 1695, 1441, 父母给予, 信用卡, no, cloth, online, 2, 2, 1, 2, 2, 1, huawei, 联想, 普通品牌, e6B03@qq.com
Male, city, 1, 1632, 2323, 副业, 信用卡, yes, cloth, online, 1, 2, 1, 1, 2, 1, huawei, 联想, 普通品牌, wESo7mCQvL1@126.com
Male, city, 1, 1851, 1193, 父母给予, 信用卡, no, dict, online, 2, 3, 2, 2, 2, 1, huawei, 联想, 普通品牌, 7PTMuN@sina.com
Male, city, 1, 2625, 4106, 父母给予, 信用卡, no, cloth, online, 2, 2, 1, 2, 2, 1, huawei, 联想, 普通品牌, bCrJEN8@sina.com
Male, city, 1, 1813, 4116, 父母给予, 信用卡, yes, dict, online, 2, 3, 2, 2, 2, 1, huawei, 联想, 普通品牌, zRZr61IzD@sina.com
Female, township, 2, 5238, 5552, 无, 节呗, yes, funny, online, 2, 4, 2, 3, 2, 2, oppo, 苹果, 普通品牌, 0vlUH2S7KJ@sina.com
Female, township, 2, 4102, 3646, 无, 节呗, no, funny, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, 1cAFkx@sina.com
Female, township, 2, 4612, 3388, 无, 节呗, yes, funny, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, Lh6X4EsS@sina.com
Female, township, 2, 4037, 5559, 无, 美团月付, no, study, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, MBGcVx3CqN@sina.com
Female, countryside, 3, 4698, 4725, 无, 无, no, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, nk45i2pAIOZ@sina.com
Female, township, 2, 5247, 4293, 无, 花呗, no, funny, online, 2, 4, 2, 2, 2, 2, xiaomi, 苹果, 普通品牌, xEfOd7u8iw@qq.com
Female, township, 2, 4637, 2796, 无, 节呗, no, funny, online, 2, 4, 2, 3, 2, 2, oppo, 华硕, 普通品牌, J1Fc1DCt@163.com
Male, city, 1, 2901, 3580, 无, 花呗, no, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, RzD84R@126.com
Male, city, 2, 4751, 5364, 无, 花呗, yes, trval, online, 2, 4, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, pyZ2K2ARdJZ@qq.com
Female, countryside, 3, 5662, 6295, 无, 无, yes, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, p2jqHFIU1BD@163.com
Female, township, 2, 3190, 2741, 无, 无, yes, study, online, 3, 4, 2, 3, 2, 2, iphone, 华硕, 中档品牌, 7fnIwb0SAoY@163.com
Male, city, 1, 2848, 4492, 父母给予, 信用卡, yes, cloth, online, 2, 3, 1, 2, 2, 1, huawei, 联想, 普通品牌, 2ymvOZX8GK@sina.com
Female, countryside, 3, 4135, 1803, 无, 信用卡, no, cream, offline, 3, 4, 3, 1, 2, 2, iphone, other, 高档品牌, 8l0pT@126.com
Female, countryside, 3, 3583, 2642, 无, 无, yes, elec, offline, 3, 4, 2, 3, 2, 2, iphone, 惠普, 中档品牌, hN6XR5Iq0zt@qq.com
Male, city, 1, 2441, 3077, 无, 花呗, no, trval, online, 2, 4, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, pxTBGRKxQ8@126.com
Female, countryside, 3, 3067, 4063, 无, 无, no, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, aFJ0zO8@sina.com
Male, city, 1, 1982, 1986, 父母给予, 信用卡, no, cloth, online, 2, 2, 1, 1, 2, 1, huawei, 联想, 普通品牌, 3pG4G@qq.com
Male, city, 1, 2456, 4460, 副业, 信用卡, no, cloth, online, 1, 2, 1, 1, 2, 1, huawei, 联想, 普通品牌, w54VU7rR@qq.com
Female, countryside, 3, 5067, 5890, 无, 信用卡, yes, cream, offline, 3, 4, 3, 1, 2, 2, iphone, other, 高档品牌, 5AIoLYGr@126.com
Female, countryside, 3, 4604, 2103, 无, 无, no, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, DF9PaY@163.com
Female, countryside, 3, 5332, 2266, 无, 无, yes, elec, offline, 3, 4, 2, 3, 2, 2, iphone, 惠普, 中档品牌, 9eOMgEvm@126.com
Male, city, 1, 2071, 2178, 父母给予, 信用卡, yes, cloth, online, 2, 2, 1, 2, 2, 1, huawei, 联想, 普通品牌, kONsMQl04j@126.com
Male, city, 1, 1731, 2852, 父母给予, 信用卡, no, cloth, online, 2, 2, 1, 2, 2, 1, huawei, 联想, 普通品牌, xS9W5FPl@qq.com
Male, city, 1, 2214, 1517, 无, 花呗, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, TWPJEh6am@sina.com
Female, countryside, 3, 5656, 3641, 无, 信用卡, yes, cream, offline, 3, 4, 3, 1, 2, 2, iphone, other, 中档品牌, WFYR3rJtp3z@163.com
Female, township, 2, 3958, 1477, 无, 花呗, no, funny, online, 2, 4, 2, 2, 2, 2, oppo, 苹果, 普通品牌, BL1M3JUtjg@163.com
